WordID,ShortWordName,English,Comments
11,Common,Common,Basic tools common to all activities.
12,General2D,2D Basic,Simple 2D Dumb Drawings.
13,Intelligent2D,2D Intelligent,"P&ID, PFD, SLD, Circuit Diagraom, Interlocs etc."
14,General3D,3D Basic,"Primitives, Groupings, Templating etc."
15,Intelligent3D,3D Inteligent,"Pipes, Beam/Column, R/f, Wires etc."
16,Simulation,Simulation,"Stress Analsys, Thermal Analysis, CFD etc."
17,CodeChecking,Design Codes,Checking compliance with Design Codes.
18,Documentation,Documentation,"Specifications, Writeups, Calculation Sheets, PPT !!! Etc."
19,ThreeDtoTwoD,3D to 2D,Drawing Extraction
20,Time4D,4D Time,"Timeline Management, Visulization etc."
21,Cost5D,5D Cost,"Cost Estimate, BOM etc."
22,Utility,Utility,Miscellaneous utilities such as interoperability etc.
23,Extension,Extension,Software Extensions / Addons
51,Organize,Organize,
52,View,View,
53,Select,Select,
55,Modify,Modify,
56,ProcessEquipment,Process Equipments,
57,Basic,Basic,
59,Reinforcement,Reinforcement,
60,SteelFRPGlass,"Steel, FRP, Glass",
61,Equipments,Equipments,
62,Piping,Piping,
63,BasicLoads,BasicLoads,
64,Supports,Supports,
65,Analysis,Analysis,
66,Structural,Structural,
67,Mechanical,Mechanical,
68,Extraction,Drawing Extraction,
69,ImportExport,Import & Export,
70,ActiveExtensions,All Active Extensions,
71,Create,Create,
72,Search,Search,
73,Premitives,Create Primitives,Create Primitives
74,FreeForm,FreeForm,
75,Helpers,Helpers,
76,LoadGenerators,LoadGenerators,
77,Civil,Civil,
78,General,General,
99,Unknown,Unknown,
1001,ProjectOpen,Project Open,Open an existing project
1003,ProjectSave,Project Save,Save current project
1005,ProjectClose,Project Close,Close current project
1007,ViewTree,View Tree,Toggle tree view
1011,ViewMaxZoom,Max Zoom,Zoom to maximum
1013,ViewRotate,Rotate,Rotate view
1015,ViewPan,Pan,Pan view
1017,SelectGeneral,Select,General selection tool
1019,SelectPipes,Select Pipes,Select pipe elements
1021,SelectFittings,Select Fittings,Select pipe fittings
1200,ActionGroup2D,,
1201,CreateLine,Line,Create a line
1203,CreatePolyline,Polyline,Create a polyline
1205,CreatePolygon,Polygon,"To help draw Triangle, Rectangle, Pentagon, Hexagon, Heptagon, Octagon."
1207,CreateCircle,Circle,
1209,CreateArc,Arc,Create an arc
1211,CreateEllipse,Ellipse,
1213,CreateNurbs,Nurbs,
1215,CreateText,Text,
1217,CreateSpecialText,Sp.Text,
